record_id_1,record_id_2
001dc63d-041a-43d1-9cc4-ed0298605bb5,04b1cd8f-2ccd-49d8-8dad-bd6ec32b7cec
001dc63d-041a-43d1-9cc4-ed0298605bb5,0f5976c1-064c-4822-8a1c-5921ab15379c
001dc63d-041a-43d1-9cc4-ed0298605bb5,18a45e4b-6ce7-43e0-8317-10d6cd0115c7
001dc63d-041a-43d1-9cc4-ed0298605bb5,536ae931-5e21-4049-b713-4c869169f2de
001dc63d-041a-43d1-9cc4-ed0298605bb5,5451ee21-d9bc-4ae1-8760-52d3cfc0129b
001dc63d-041a-43d1-9cc4-ed0298605bb5,5d75791a-aeda-4037-9038-da54684a6dda
001dc63d-041a-43d1-9cc4-ed0298605bb5,7244cb94-3c3b-469b-8fb5-21440a5fd72f
001dc63d-041a-43d1-9cc4-ed0298605bb5,d182899e-b0b2-4c34-a9ec-2cad16e77e7d
001dc63d-041a-43d1-9cc4-ed0298605bb5,d5494910-557e-444d-af4d-19c57a94894b
001dc63d-041a-43d1-9cc4-ed0298605bb5,d95106fe-0c18-477a-9047-1cfb0c6c223d
001dc63d-041a-43d1-9cc4-ed0298605bb5,e6b5acb2-5dd3-480c-88c4-72a8d09f9263
001dc63d-041a-43d1-9cc4-ed0298605bb5,f4c9f70e-5803-47e0-a55b-5d0242a45a00
001dc63d-041a-43d1-9cc4-ed0298605bb5,fb607cf5-99af-444a-944c-d329c2ed620d
001dc63d-041a-43d1-9cc4-ed0298605bb5,fd7fa5b2-88d0-44ba-bb29-498b3e4c8e27
001dc63d-041a-43d1-9cc4-ed0298605bb5,fe56d763-eb2a-49cb-b312-adfdebaf951d
0036a611-f535-4a55-a06d-c2e7574b155a,085d9096-87f9-449b-ae63-77cdb161e593
0036a611-f535-4a55-a06d-c2e7574b155a,09eb586a-5bd6-43b6-a227-0787560b0639
0036a611-f535-4a55-a06d-c2e7574b155a,167fb2f9-b3dd-4e90-8833-e11af191eb60
0036a611-f535-4a55-a06d-c2e7574b155a,3a184826-6189-47b6-ba86-a4af830fe249
0036a611-f535-4a55-a06d-c2e7574b155a,3bde52b3-6361-4435-9489-de1a808fb578
0036a611-f535-4a55-a06d-c2e7574b155a,4b90add3-5379-4e18-9991-d15da2e10b7d
0036a611-f535-4a55-a06d-c2e7574b155a,784a22e4-9104-44d6-906b-560d3f15b18c
0036a611-f535-4a55-a06d-c2e7574b155a,9529f6a2-e61c-4f5c-ba1b-3d11d96b2023
0036a611-f535-4a55-a06d-c2e7574b155a,99de6fbe-9540-4757-845d-6cce9998aea0
0036a611-f535-4a55-a06d-c2e7574b155a,aaceb873-1e7e-476e-ba40-1c2b76fbdca8
0036a611-f535-4a55-a06d-c2e7574b155a,b33ae923-502f-485c-92a1-c4f31095fd9f
0036a611-f535-4a55-a06d-c2e7574b155a,ba084957-5a37-43df-890c-096ae8464dfc
0036a611-f535-4a55-a06d-c2e7574b155a,bf502f92-420c-493b-a5a8-2bd4b40ed534
0036a611-f535-4a55-a06d-c2e7574b155a,c025f1c4-fc92-4e26-8505-f7ad7e50e9a9
0036a611-f535-4a55-a06d-c2e7574b155a,c40d9c3f-eb93-49bc-b3ab-2ef6d67a132c
0036a611-f535-4a55-a06d-c2e7574b155a,c427a6c2-6311-45fc-baa4-7b91e54f645d
0036a611-f535-4a55-a06d-c2e7574b155a,cf7bb12f-e498-4ca0-9219-41c426f804b8
0036a611-f535-4a55-a06d-c2e7574b155a,d7418951-39a6-43b3-b0b5-f5f37b5dd030
0036a611-f535-4a55-a06d-c2e7574b155a,ed605b4a-4ae2-40a8-bb32-f851b63001cd
0044c45d-289c-49d3-834a-b30440cb115e,1a2e0775-52d8-4887-a2c1-1d57492b26a8
0044c45d-289c-49d3-834a-b30440cb115e,1ebc98ec-88bf-40ad-adbc-4d036342db25
0044c45d-289c-49d3-834a-b30440cb115e,2124a980-3e3c-4ce8-b485-50bb52495b18
0044c45d-289c-49d3-834a-b30440cb115e,241c38f4-6715-4eb7-87c9-f4ab19c61a80
0044c45d-289c-49d3-834a-b30440cb115e,28c24da2-f9fd-4e1c-a2ba-30f15a84ce48
0044c45d-289c-49d3-834a-b30440cb115e,2b35aa15-c2d7-4d35-81ee-436dfcfdb885
0044c45d-289c-49d3-834a-b30440cb115e,2b511d3d-a5d4-403f-bff3-62eee236714d
0044c45d-289c-49d3-834a-b30440cb115e,3312101b-dfcd-4091-bfee-be638d8b74b9
0044c45d-289c-49d3-834a-b30440cb115e,3321b555-d465-4c24-a0e4-47c5bdc841a8
0044c45d-289c-49d3-834a-b30440cb115e,35b03300-9e63-4c9e-a42f-9509de11cbd0
0044c45d-289c-49d3-834a-b30440cb115e,43c4e535-b516-4f29-a364-45306cd9781e
0044c45d-289c-49d3-834a-b30440cb115e,44a49e9c-8694-4b7f-be18-75d2cd5d6458
0044c45d-289c-49d3-834a-b30440cb115e,5859f15b-beb0-4b2f-8f46-20b5d3a2677c
0044c45d-289c-49d3-834a-b30440cb115e,6db13a89-d2c8-493a-95cb-ad3221c035bd
0044c45d-289c-49d3-834a-b30440cb115e,78ed7853-531d-46d3-bca8-ca97474f7eff
0044c45d-289c-49d3-834a-b30440cb115e,89595e50-926e-429b-a30d-800f4769f254
0044c45d-289c-49d3-834a-b30440cb115e,c552e211-6d5a-4aba-bb64-7e90898ecd0d
0044c45d-289c-49d3-834a-b30440cb115e,ca2f57fe-53f9-48a8-b963-89cdb0e365c2
0044c45d-289c-49d3-834a-b30440cb115e,d2def635-b480-49d3-bc8d-ae668fcb5742
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,568c3ae1-084d-4af1-9d15-8a49b4e55fca
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,5b3628df-2400-4381-878e-312eeb9a0611
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,64b65de9-7bd6-41fa-b991-e65b91e6c09d
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,6596d2a4-1640-40c1-a535-e51bc84b8ece
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,7ddb80bc-925e-4480-8a8e-7c20a04802bf
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,7f45bf8d-0987-4667-85aa-e8245d660196
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,922bfa02-6c50-44e8-b2cb-896bb3d20b86
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,9aeae7f8-48e1-408c-911f-fb73b8ce3fdb
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,a7ba47f5-d846-4cab-8755-f89fb7639e2e
01443e47-8c85-4b4a-99e9-cd6ce8c602f6,fb8bfcc4-f09c-4879-84ae-511b6a36677d
016acf9f-f4a8-458e-8a66-fb8617939a64,0bf7506c-4735-4492-9336-8fc46aeadfc5
016acf9f-f4a8-458e-8a66-fb8617939a64,218e1ec7-72e4-48be-bef8-8fbf1bc35fbf
016acf9f-f4a8-458e-8a66-fb8617939a64,2525eb62-ba69-48f3-afca-4cf2d5ad48fc
016acf9f-f4a8-458e-8a66-fb8617939a64,2c47a354-58e6-40d1-bd4b-07794c2a3eff
016acf9f-f4a8-458e-8a66-fb8617939a64,44d2dac3-ab92-493b-af22-0a4ee27b097d
016acf9f-f4a8-458e-8a66-fb8617939a64,50cdc112-3bd4-43db-a295-268088ac4fe6
016acf9f-f4a8-458e-8a66-fb8617939a64,60d1a991-9b3f-4774-9cf4-c113b39a197d
016acf9f-f4a8-458e-8a66-fb8617939a64,7a348939-14a1-4118-83c5-3e9fba8c0718
016acf9f-f4a8-458e-8a66-fb8617939a64,9a487c81-a541-4f5b-a2c4-22bc244f05ad
016acf9f-f4a8-458e-8a66-fb8617939a64,ebcbbd0f-c2c6-4dcf-95e6-dbf3910a3897
0171d358-6878-41cf-9607-2fdd4c403b80,1fbe0e92-85d3-46c6-8a33-e1557f45edc0
0171d358-6878-41cf-9607-2fdd4c403b80,26be12d8-a5c2-4345-84d7-9c714878d32d
0171d358-6878-41cf-9607-2fdd4c403b80,2761c0ad-31d8-476c-9fa2-dd2c9716af6b
0171d358-6878-41cf-9607-2fdd4c403b80,3963c5e6-35d3-4a76-92b9-a3615cac695c
0171d358-6878-41cf-9607-2fdd4c403b80,429de05c-431f-46d4-bbb9-450a5bd981ea
0171d358-6878-41cf-9607-2fdd4c403b80,4b58f615-6b70-41a4-9d02-2a3a69397fd1
0171d358-6878-41cf-9607-2fdd4c403b80,5131990d-d895-4999-a538-4a64f67b5d66
0171d358-6878-41cf-9607-2fdd4c403b80,5f7f22d2-2a50-4329-a82d-8f271925cd5c
0171d358-6878-41cf-9607-2fdd4c403b80,ac376027-58ef-42d1-ba26-b1276a6af7ba
0171d358-6878-41cf-9607-2fdd4c403b80,ce4edcb8-14da-48f2-8f60-16324df73e1f
0198b283-34c7-4ea2-97fb-0ffb017ca020,0aca438a-be5a-4f22-b8a4-8e49cc739736
0198b283-34c7-4ea2-97fb-0ffb017ca020,2a00e7f7-1c2d-4292-bb9e-7752b7be6202
0198b283-34c7-4ea2-97fb-0ffb017ca020,60d1a991-9b3f-4774-9cf4-c113b39a197d
0198b283-34c7-4ea2-97fb-0ffb017ca020,6c1f478c-05c4-4ea2-9bd3-6dc00a38d160
0198b283-34c7-4ea2-97fb-0ffb017ca020,7356ed75-d237-4c77-88d4-99e5a7235a72
0198b283-34c7-4ea2-97fb-0ffb017ca020,bbe880ab-b03c-4281-8b80-4b385c7e50f8
0198b283-34c7-4ea2-97fb-0ffb017ca020,c2866922-660d-4277-bed1-1363ea82837a
0198b283-34c7-4ea2-97fb-0ffb017ca020,de7ba852-3493-4c50-a3aa-ea167873bf12
0198b283-34c7-4ea2-97fb-0ffb017ca020,e798ffe8-5299-43ae-b5ae-f9e7b5a56874
0198b283-34c7-4ea2-97fb-0ffb017ca020,f7051895-80ea-4603-93ad-1a6f9eb7ad20
02040b73-060a-47be-973c-d65e844dcb86,1958212b-8110-44fe-a65c-11f76fca5e30
02040b73-060a-47be-973c-d65e844dcb86,1f5aed36-c789-48c8-b640-5df2cb1d8c51
02040b73-060a-47be-973c-d65e844dcb86,2a052990-bb5a-4ae8-ae7a-3f87094ac1c7
02040b73-060a-47be-973c-d65e844dcb86,a307eb17-f0d7-476d-9906-8387aacd64ce
02040b73-060a-47be-973c-d65e844dcb86,a37a11ec-c9f9-408a-8f81-b86a078631e5
02040b73-060a-47be-973c-d65e844dcb86,b37dd60e-3992-4f87-a6eb-8d5e8b09f7be
02040b73-060a-47be-973c-d65e844dcb86,cfc4849a-c82b-49fa-838e-5877542c7248
02040b73-060a-47be-973c-d65e844dcb86,d4c5bcc6-96b0-4228-9955-cb3cc3364e45
02040b73-060a-47be-973c-d65e844dcb86,d68acec4-585d-49b4-ab44-41f053dcf60a
02040b73-060a-47be-973c-d65e844dcb86,d7cae134-8315-4db3-8b08-830741844620
0232d24c-46f8-4ce8-9728-43b728c5e773,07498c15-01fe-4bad-9325-5ad1e862aa82
0232d24c-46f8-4ce8-9728-43b728c5e773,11bd1a20-19d1-4dc1-bac8-0fb39d95ebad
0232d24c-46f8-4ce8-9728-43b728c5e773,18e238f8-4310-4ea6-ba07-f0379bf5fdbb
0232d24c-46f8-4ce8-9728-43b728c5e773,1cf9c874-92cb-4ee4-8c4b-4885bb00fe61
0232d24c-46f8-4ce8-9728-43b728c5e773,26474f19-ee7f-4dd3-9f6b-dfdd8777d830
0232d24c-46f8-4ce8-9728-43b728c5e773,36a43e67-b5e1-4ac8-84da-56ea1d3c96d4
0232d24c-46f8-4ce8-9728-43b728c5e773,4297229c-5350-44c9-8577-069204288798
0232d24c-46f8-4ce8-9728-43b728c5e773,55e5a3c5-f21f-4309-9417-b9e179e8c13b
0232d24c-46f8-4ce8-9728-43b728c5e773,76815c3b-e8bf-42c4-bf5b-261b48c43f4d
0232d24c-46f8-4ce8-9728-43b728c5e773,d6da2d22-0715-4739-a46d-0095a825a9b1
02547d5a-8693-4391-a230-348df8f75c9d,1bb2fc5c-e260-47fb-8e4d-8eb9f006d19e
02547d5a-8693-4391-a230-348df8f75c9d,33409e7c-d7c0-4216-b42c-7493aeb49b82
02547d5a-8693-4391-a230-348df8f75c9d,395fa92f-326e-4f9c-9161-84dafebde372
02547d5a-8693-4391-a230-348df8f75c9d,42a1415d-c9bf-499b-9cca-ee59aeec874e
02547d5a-8693-4391-a230-348df8f75c9d,6475e501-f8ad-47a7-abbf-27a8a9fe47c5
02547d5a-8693-4391-a230-348df8f75c9d,7c3cb69b-03dd-48ac-b78f-117eb048c2c2
02547d5a-8693-4391-a230-348df8f75c9d,b4908fa8-395f-4a47-93a5-db5e08d4f44c
02547d5a-8693-4391-a230-348df8f75c9d,b7b1250f-6b43-405f-8cbd-5694aea1deb0
02547d5a-8693-4391-a230-348df8f75c9d,e407af00-216f-41e7-9cd3-fa4eefa59240
02547d5a-8693-4391-a230-348df8f75c9d,e4d202f6-775d-48d4-aa60-c4ce98049d48
0276420d-ac6d-4311-97b6-f5c4ed34f43d,4c00842c-401a-4762-b9f0-f7bf77b9fa5e
0276420d-ac6d-4311-97b6-f5c4ed34f43d,616e4f90-9de9-42b6-ba83-e270cad5b810
0276420d-ac6d-4311-97b6-f5c4ed34f43d,957a6487-f51b-41c5-a207-b9d3b5776076
0276420d-ac6d-4311-97b6-f5c4ed34f43d,9daddffb-6b8c-4633-8e82-9221d47d2aa0
0276420d-ac6d-4311-97b6-f5c4ed34f43d,a92525b6-b5c2-4948-aa63-b8e8226fed5f
0276420d-ac6d-4311-97b6-f5c4ed34f43d,b858f141-b33c-48fe-97fb-62440a593e33
0276420d-ac6d-4311-97b6-f5c4ed34f43d,c98eb749-5c45-43aa-8781-1f52d56a60ac
0276420d-ac6d-4311-97b6-f5c4ed34f43d,e10547f5-2713-4c04-9f6a-c00bc8baa75a
0276420d-ac6d-4311-97b6-f5c4ed34f43d,f1959911-8d7f-4cfe-9026-bd63eeb0b393
0276420d-ac6d-4311-97b6-f5c4ed34f43d,f7077573-df4a-4637-b0bb-115bd0e35681
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,1958212b-8110-44fe-a65c-11f76fca5e30
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,1f5aed36-c789-48c8-b640-5df2cb1d8c51
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,2a052990-bb5a-4ae8-ae7a-3f87094ac1c7
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,a307eb17-f0d7-476d-9906-8387aacd64ce
